Comment,Designator,Footprint,LCSC,Quantity
SW_Push,SW1,SW_PUSH_6mm,,1
Conn_01x08_Pin,J1,PinHeader_1x08_P2.54mm_Vertical,,1
2k,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
LED,D10,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
LED,D14,LED_D5.0mm,,1
LED,D16,LED_D5.0mm,,1
LED,D21,LED_D3.0mm,,1
LED,D8,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
100n,C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
100n,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
4k7,R5,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
Q_PMOS_GSD,Q2,SOT-23,,1
LED,D12,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
TLC5916,U3,TSSOP-16_4.4x5mm_P0.65mm,,1
LED,D9,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
LED,D20,LED_D2.0mm_W4.0mm_H2.8mm_FlatTop,,1
100n,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
LED,D11,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
LED,D18,LED_D2.0mm_W4.0mm_H2.8mm_FlatTop,,1
Q_PMOS_GSD,Q1,SOT-23,,1
LED,D6,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
LED,D4,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
LED,D2,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
Q_PMOS_GSD,Q4,SOT-23,,1
LED,D7,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
Conn_01x03_Pin,J4,PinHeader_1x03_P2.54mm_Vertical,,1
LED,D13,LED_D5.0mm,,1
LED,D15,LED_D5.0mm,,1
LED,D19,LED_D2.0mm_W4.0mm_H2.8mm_FlatTop,,1
4k7,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
100n,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
Conn_01x03_Pin,J6,PinHeader_1x03_P2.54mm_Vertical,,1
LED,D3,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
TLC5916,U2,TSSOP-16_4.4x5mm_P0.65mm,,1
Q_PMOS_GSD,Q3,SOT-23,,1
Conn_01x03_Pin,J3,PinHeader_1x03_P2.54mm_Vertical,,1
100n,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
LED,D1,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
10k,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
LED,D5,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
Conn_01x03_Pin,J5,PinHeader_1x03_P2.54mm_Vertical,,1
LED,D17,LED_D2.0mm_W4.0mm_H2.8mm_FlatTop,,1
TLC5916,U1,TSSOP-16_4.4x5mm_P0.65mm,,1
DS3231MZ,U4,SOIC-8_3.9x4.9mm_P1.27mm,,1
10k,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,1
Conn_01x08_Pin,J2,PinHeader_1x08_P2.54mm_Vertical,,1
