Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,82.55,-97.79,-90.0,top
C2,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,95.25,-97.79,-90.0,top
C3,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.95,-97.79,-90.0,top
C4,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,136.398,-96.774,180.0,top
C5,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.43,-85.725,90.0,top
D1,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,85.09,-83.82,90.0,top
D10,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,107.95,-83.82,90.0,top
D11,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,110.49,-83.82,90.0,top
D12,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,113.03,-83.82,90.0,top
D13,LED,LED_D5.0mm,87.63,-76.2,90.0,top
D14,LED,LED_D5.0mm,95.25,-76.2,90.0,top
D15,LED,LED_D5.0mm,102.87,-76.2,90.0,top
D16,LED,LED_D5.0mm,110.49,-76.2,90.0,top
D17,LED,LED_D2.0mm_W4.0mm_H2.8mm_FlatTop,123.19,-74.93,-90.0,top
D18,LED,LED_D2.0mm_W4.0mm_H2.8mm_FlatTop,128.27,-80.01,180.0,top
D19,LED,LED_D2.0mm_W4.0mm_H2.8mm_FlatTop,123.19,-85.09,90.0,top
D2,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,87.63,-83.82,90.0,top
D20,LED,LED_D2.0mm_W4.0mm_H2.8mm_FlatTop,118.11,-80.01,0.0,top
D21,LED,LED_D3.0mm,123.2916,-97.7138,0.0,top
D3,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,90.17,-83.82,90.0,top
D4,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,92.71,-83.82,90.0,top
D5,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,95.25,-83.82,90.0,top
D6,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,97.79,-83.82,90.0,top
D7,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,100.33,-83.82,90.0,top
D8,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,102.87,-83.82,90.0,top
D9,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,105.41,-83.82,90.0,top
J1,Conn_01x08_Pin,PinHeader_1x08_P2.54mm_Vertical,95.25,-111.76,270.0,bottom
J2,Conn_01x08_Pin,PinHeader_1x08_P2.54mm_Vertical,135.89,-111.76,270.0,bottom
J3,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,137.16,-80.01,90.0,top
J4,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,137.16,-72.39,90.0,top
J5,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,147.32,-72.39,90.0,top
J6,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,147.32,-80.01,90.0,top
Q1,Q_PMOS_GSD,SOT-23,137.16,-76.2,90.0,top
Q2,Q_PMOS_GSD,SOT-23,137.16,-68.58,90.0,top
Q3,Q_PMOS_GSD,SOT-23,147.32,-68.58,90.0,top
Q4,Q_PMOS_GSD,SOT-23,147.32,-76.2,90.0,top
R1,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,84.75676,-91.850593,90.0,top
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.430033,-91.895016,90.0,top
R3,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110.034344,-91.868852,90.0,top
R4,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,134.62,-102.108,-90.0,top
R5,4k7,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,137.16,-102.108,-90.0,top
SW1,SW_Push,SW_PUSH_6mm,111.939,-109.256,180.0,top
U1,TLC5916,TSSOP-16_4.4x5mm_P0.65mm,86.36,-97.79,90.0,top
U2,TLC5916,TSSOP-16_4.4x5mm_P0.65mm,99.06,-97.79,90.0,top
U3,TLC5916,TSSOP-16_4.4x5mm_P0.65mm,111.76,-97.79,90.0,top
U4,DS3231MZ,SOIC-8_3.9x4.9mm_P1.27mm,137.795,-91.44,-90.0,top
