Comment,Designator,Footprint,LCSC,Quantity
0603L020/30XR,F1,Fuse_0603_1608Metric,C20608677,1
100k,"R11,R12",R_0402_1005Metric,C25741,2
100n,"C10,C11,C12,C4,C5,C6,C9",C_0402_1005Metric,C1525,7
10k,"R4,R5,R6,R7",R_0402_1005Metric,C25744,4
10u,"C1,C2,C3,C7,C8",C_0402_1005Metric,C315248,5
220k,R13,R_0402_1005Metric,C25767,1
22k,"R14,R15,R16,R3",R_0402_1005Metric,C25768,4
2k,R8,R_0402_1005Metric,C4109,1
5k1,"R1,R10,R2,R9",R_0402_1005Metric,C25905,4
DIO5518BST5,U1,SOT-23-5,C38066,1
DMG2302U-7,Q2,SOT-23,C96613,1
DMG2305UX-7,Q1,SOT-23,C150470,1
DS3231MZ,U6,SOIC-8_3.9x4.9mm_P1.27mm,C107410,1
GT-USB-7070C,J1,GT-USB-7070C,C5446864,1
KSC321J LFS,SW1,SW_Push_1P1T_NO_CK_KSC3xxJ,C2798494,1
LED,"D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9",LED_1206_W,C965828,12
MCP1711T-3.3I/OT,U2,SOT-23-5,C79527,1
MS2A40LWS,D22,D_SOD-323,C7380001,1
STM32L052K8Ux,U7,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,C1342049,1
TEMT6200FX01,Q3,TEMT6200FX01,C143695,1
TLC5916IPWR,"U3,U4,U5",TSSOP-16_4.4x5mm_P0.65mm,C193571,3
﻿EVQ-P7J01P,SW2,SW_SPST_EVQP7A,C2828254,1
LED,D14,LED_D5.0mm_B,,1
LED,D16,LED_D5.0mm_R,,1
LED,D21,LED_D3.0mm_R,,1
LED,D20,LED_W3.0mm_H2.0mm_Y,,1
LED,D18,LED_W3.0mm_H2.0mm_Y,,1
LED,D13,LED_D5.0mm_Y,,1
LED,D15,LED_D5.0mm_G,,1
LED,D19,LED_W3.0mm_H2.0mm_Y,,1
LED,D17,LED_W3.0mm_H2.0mm_Y,,1
